OrderID,Branch,City,Customer type,Gender,Product line,Unitprice,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Tax
176,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,1/1/2024,19:07,Cash,448.26,4.761904762,22.413,6.7,22.413
186,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,1/1/2024,15:51,Cash,126.44,4.761904762,6.322,8.5,6.322
236,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,1/1/2024,14:42,Credit card,742.2,4.761904762,37.11,4.3,37.11
177,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,1/2/2024,18:50,Cash,132.06,4.761904762,6.603,7.6,6.603
123,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,1/4/2024,19:40,Cash,72.17,4.761904762,3.6085,6.1,3.6085
129,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,1/4/2024,18:19,Credit card,599.85,4.761904762,29.9925,9.7,29.9925
1245,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,1/4/2024,19:40,Cash,72.17,4.761904762,3.6085,6.1,3.6085
258,A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.858,690.018,1/5/2024,11:51,Credit card,657.16,4.761904762,32.858,7.3,32.858
140,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,1/7/2024,16:11,Credit card,310.88,4.761904762,15.544,8.8,15.544
230,A,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,210.966,1/8/2024,17:12,Cash,200.92,4.761904762,10.046,9,10.046
243,A,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,250.7085,1/8/2024,14:30,Cash,238.77,4.761904762,11.9385,6.6,11.9385
267,C,Naypyitaw,Normal,Male,Electronic accessories,96.37,7,33.7295,708.3195,1/9/2024,11:40,Cash,674.59,4.761904762,33.7295,6,33.7295
155,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,1/10/2024,11:34,Cash,373.95,4.761904762,18.6975,4.9,18.6975
256,B,Mandalay,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,1/10/2024,11:10,Ewallet,55.12,4.761904762,2.756,9,2.756
118,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,1/12/2024,14:50,Ewallet,886.7,4.761904762,44.335,7.3,44.335
218,B,Mandalay,Member,Male,Electronic accessories,91.56,8,36.624,769.104,1/12/2024,18:22,Ewallet,732.48,4.761904762,36.624,6,36.624
1240,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,1/12/2024,14:50,Ewallet,886.7,4.761904762,44.335,7.3,44.335
114,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/2024,17:04,Credit card,416.5,4.761904762,20.825,5.4,20.825
174,A,Yangon,Normal,Female,Electronic accessories,23.46,6,7.038,147.798,1/13/2024,19:14,Ewallet,140.76,4.761904762,7.038,6.4,7.038
1236,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/2024,17:04,Credit card,416.5,4.761904762,20.825,5.4,20.825
128,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,1/14/2024,10:02,Cash,429.87,4.761904762,21.4935,9.8,21.4935
252,C,Naypyitaw,Member,Female,Electronic accessories,44.84,9,20.178,423.738,1/14/2024,14:00,Credit card,403.56,4.761904762,20.178,7.5,20.178
108,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/2024,17:17,Ewallet,547.92,4.761904762,27.396,4.7,27.396
207,B,Mandalay,Normal,Male,Electronic accessories,75.66,5,18.915,397.215,1/15/2024,18:22,Ewallet,378.3,4.761904762,18.915,7.8,18.915
238,C,Naypyitaw,Normal,Male,Electronic accessories,55.87,10,27.935,586.635,1/15/2024,15:01,Cash,558.7,4.761904762,27.935,5.8,27.935
1230,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/2024,17:17,Ewallet,547.92,4.761904762,27.396,4.7,27.396
122,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,1/18/2024,20:59,Credit card,131.55,4.761904762,6.5775,8.8,6.5775
1244,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,1/18/2024,20:59,Credit card,131.55,4.761904762,6.5775,8.8,6.5775
125,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,1/19/2024,17:34,Credit card,317.34,4.761904762,15.867,9.8,15.867
215,A,Yangon,Member,Male,Electronic accessories,11.94,3,1.791,37.611,1/19/2024,12:47,Credit card,35.82,4.761904762,1.791,8.1,1.791
247,B,Mandalay,Member,Female,Electronic accessories,12.1,8,4.84,101.64,1/19/2024,10:17,Ewallet,96.8,4.761904762,4.84,8.6,4.84
253,C,Naypyitaw,Normal,Female,Electronic accessories,56.13,4,11.226,235.746,1/19/2024,11:43,Ewallet,224.52,4.761904762,11.226,8.6,11.226
1247,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,1/19/2024,17:34,Credit card,317.34,4.761904762,15.867,9.8,15.867
173,C,Naypyitaw,Normal,Female,Electronic accessories,84.05,3,12.6075,264.7575,1/23/2024,13:29,Cash,252.15,4.761904762,12.6075,9.8,12.6075
